TITLE;TYPE
001-Albeniz I - Tango.mid;0
002-Bach, JS - Aria (Goldberg Variations).mid;0
003-Bach, JS - Fugue (WTC Bk-1 No-21).mid;0
004-Bach, JS - Fugue (WTC Bk-1 No-3).mid;0
005-Bach, JS - Fugue (WTC Bk-1 No-5).mid;0
006-Bach, JS - Fugue (WTC Bk-1 No-7).mid;0
007-Bach, JS - Gavotte (French Suite No-5).mid;0
008-Bach, JS - Italian Concerto Mvt-1.mid;0
009-Bach, JS - Italian Concerto Mvt-2.mid;0
010-Bach, JS - Italian Concerto Mvt-3.mid;0
011-Bach, JS - Jesu Joy of Man's Desiring.mid;0
012-Bach, JS - March in D.mid;0
013-Bach, JS - Minuet in G (2).mid;0
014-Bach, JS - Minuet in G.mid;0
015-Bach, JS - Musette in D.mid;0
016-Bach, JS - Prelude (WTC Bk-1 No-21).mid;0
017-Bach, JS - Prelude (WTC Bk-1 No-3).mid;0
018-Bach, JS - Prelude (WTC Bk-1 No-5.mid;0
019-Bach, JS - Prelude (WTC Bk-1 No-7).mid;0
020-Bach, JS - Prelude in C (WTC) Bk.1).mid;0
021-Bach, JS - Toccata and Fugue in D.mid;0
022-Balakirev - Islamey.mid;0
023-Beethoven - Bagatelle Op-33 No-1.mid;0
024-Beethoven - Bagatelle Op-33 No-4.mid;0
025-Beethoven - Fuer Elise.mid;0
026-Beethoven - Moonlight Sonata Op-27 No-2 Mvt-1.mid;0
027-Beethoven - Moonlight Sonata Op-27 No-2 Mvt-2.mid;0
028-Beethoven - Moonlight Sonata Op-27 No-2 Mvt-3.mid;0
029-Beethoven - Pathetique Sonata Op-13 Mvt-1.mid;0
030-Beethoven - Pathetique Sonata Op-13 Mvt-2.mid;0
031-Beethoven - Pathetique Sonata Op-13 Mvt-3.mid;0
032-Beethoven - Symphony No-5 Mvt-1.mid;0
033-Boccherini - Minuet.mid;0
034-Brahms - Ballade in D Op-10 No-1.mid;0
035-Brahms - Ballade in G Op-118 No-3.mid;0
036-Brahms - Capriccio in BOp-76 No-2.mid;0
037-Brahms - Intermezzo in A Op-118 No-2.mid;0
038-Brahms - Intermezzo in B-flat Op-117 No-2.mid;0
039-Brahms - Intermezzo in C-sharp Op-117 No-3.mid;0
040-Brahms - Intermezzo in E-flat Op-117 No-1.mid;0
041-Brahms - Intermezzo in E-flat Op-118 No-6.mid;0
042-Brahms - Rhapsody in G Op-79 No-2.mid;0
043-Brahms - Waltz in A-flat Op-39 No-15.mid;0
044-Chaminade - Automne (Etude de Concert) Op-35 No-2.mid;0
045-Chopin - Ballade No-1 in G Op-23.mid;0
046-Chopin - Barcarolle Op-60.mid;0
047-Chopin - Etude in A op.25 No-11.mid;0
048-Chopin - Etude in A-flat Op-25 No-1.mid;0
049-Chopin - Etude in C Op-10 No-12 (Revolutionary).mid;0
050-Chopin - Etude in C-sharp Op-25 No-7 (Cello).mid;0
051-Chopin - Etude in E Op-10 No-3.mid;0
052-Chopin - Etude in G-flat Op-10 No-5 (Black Key).mid;0
053-Chopin - Etude in G-sharp Op-25 No-6.mid;0
054-Chopin - Fantaisie-Impromptu in C-sharp Op-66.mid;0
055-Chopin - Mazurka in B Op-33 No-4.mid;0
056-Chopin - Mazurka in B-flat Op-7 No-1.mid;0
057-Chopin - Mazurka in C-sharp Op-63 No-3.mid;0
058-Chopin - Mazurka in F-sharp Op-6 No-1.mid;0
059-Chopin - Nocturne in B Op-32 No-1.mid;0
060-Chopin - Nocturne in D-flat Op-27 No-2.mid;0
061-Chopin - Nocturne in E Op-62 No-2.mid;0
062-Chopin - Nocturne in E-flat Op-9 No-2.mid;0
063-Chopin - Nocturne in F-sharp Op-15 No-2.mid;0
064-Chopin - Nocturne in G Op-37 No-1.mid;0
065-Chopin - Polonaise in A Op-40 No-1 (Military).mid;0
066-Chopin - Polonaise in A-flat Op-53.mid;0
067-Chopin - Prelude in A Op-28 No-7.mid;0
068-Chopin - Prelude in B Op-28 No-5.mid;0
069-Chopin - Prelude in D-flat Op-28 No-15 (Raindrop).mid;0
070-Chopin - Prelude in E Op-28 No-4.mid;0
071-Chopin - Prelude in F-sharp Op-28 No-8.mid;0
072-Chopin - Scherzo in C-sharp.mid;0
073-Chopin - Waltz in C-sharp Op-64 No-2.mid;0
074-Chopin - Waltz in D-flat Op-64 No-1 (Minute).mid;0
075-Chopin - Waltz in E Op-Posth..mid;0
076-Chopin - Waltz in E-flat Op-18.mid;0
077-Debussy - Arabesque No-1 in E.mid;0
078-Debussy - Arabesque No-2 in G.mid;0
079-Debussy - Clair de lune.mid;0
080-Debussy - Danse.mid;0
081-Debussy - Doctor Gradys ad Parnassum (Children's Corner.mid;0
082-Debussy - Golliwog's Cake Walk (Children's Corner).mid;0
083-Debussy - Jimbo's Lullaby (Children's Corner).mid;0
084-Debussy - Reflections in the Water.mid;0
085-Debussy - Reverie.mid;0
086-Debussy - Serenade for the Doll (Children's Corner).mid;0
087-Debussy - The Engulfed Cathedral.mid;0
088-Debussy - The Girl With The Flaxen Hair.mid;0
089-Debussy - The Little Shepherd (Children's Corner).mid;0
090-Debussy - The Snow is Dancing (Children's Corner).mid;0
091-Debussy - Valse - La plus que lente.mid;0
092-Elgar - Pomp and Circumstance No-1.mid;0
093-Faure - Claire de lune Op-46 No-2.mid;0
094-Faure - Impromptu in F minor Op-31 No-2.mid;0
095-Grainger - Country Gardens.mid;0
096-Grainger - Irish tune from County Derry.mid;0
097-Grainger - Shepherd's Hey.mid;0
098-Granados - Oriental.mid;0
099-Grieg - Air (Holberg).mid;0
100-Grieg - Anitra's Dance (Peer Gynt).mid;0
101-Grieg - Arietta Op-12 No-1.mid;0
102-Grieg - Ase's Death (Peer Gynt).mid;0
103-Grieg - Elfin Dance Op-12.mid;0
104-Grieg - Gavotte (Holberg).mid;0
105-Grieg - I Love Thee.mid;0
106-Grieg - In the Hall of the Mountain King (Peer Gynt).mid;0
107-Grieg - March of the Dwarfs Op-54 No-3.mid;0
108-Grieg - Morning Mood (Peer Gynt).mid;0
109-Grieg - Nocturne Op-54 No-4.mid;0
110-Grieg - Preludium (Holberg).mid;0
111-Grieg - Rigaudon (Holberg).mid;0
112-Grieg - Sarabande (Holberg).mid;0
113-Grieg - Solvejg's Song Op-52 No-4.mid;0
114-Grieg - The Bird Op-43 No-4.mid;0
115-Grieg - The Butterfly Op-43 No-1.mid;0
116-Grieg - To the Spring Op-43 No-6.mid;0
117-Grieg - Wedding Day at Troldhaugen Op-65 No-6.mid;0
118-Haydn - Sonata in E-flat Mvt-1 (Hob.XVI-52).mid;0
119-Haydn - Sonata in E-flat Mvt-2 (Hob.XVI-52).mid;0
120-Haydn - Sonata in E-flat Mvt-3 (Hob.XVI-52).mid;0
121-Joplin S-- The Entertainer.mid;0
122-Ketelbey - in A Monastery Garden.mid;0
123-Liszt - Ave Maria.mid;0
124-Liszt - Concert Etude No-3 in D-flat (Un Sospiro).mid;0
125-Liszt - Hungarian Rhapsody No-2.mid;0
126-Liszt - Liebestraume No-1.mid;0
127-Liszt - Liebestraume No-3.mid;0
128-Liszt - Mephisto Waltz.mid;0
129-Liszt - On the Edge Of a Spring.mid;0
130-Liszt - Paganini Etude No-3 (La Campanella).mid;0
131-Liszt - Valse Oubliee.mid;0
132-Liszt - Valse-Impromptu.mid;0
133-MacDowell E - To a Wild Rose Op-51.mid;0
134-Mendelssohn - Andante and Rondo Capriciosso Op-14.mid;0
135-Mendelssohn - Song of Spring Op-62 No-6.mid;0
136-Mendelssohn - Song without Words Op-19 No-1.mid;0
137-Mendelssohn - Song without Words Op-38 No-2.mid;0
138-Mendelssohn - Song without Words Op-85 No-1.mid;0
139-Mendelssohn - Spinner's Song Op-67 No-4.mid;0
140-Mendelssohn - Wedding March.mid;0
141-Mozart - Fantasy in C K-475.mid;0
142-Mozart - Fantasy in D K-397.mid;0
143-Mozart - Sonata in A 1st Mvt. K-331.mid;0
144-Mozart - Sonata in A 2nd Mvt. K-331.mid;0
145-Mozart - Sonata in A 3rd Mvt-(Alla Turca) K-331.mid;0
146-Mozart - Sonata in C Allegro K.545.mid;0
147-Mozart - Sonata in C Andante K.545.mid;0
148-Mozart - Sonata in C Rondo K.545.mid;0
149-Mozart - Variations on Ah vous dirais-je maman.mid;0
150-Mussorgsky - Ballet of the Unhatched Chickens (Pictures).mid;0
151-Mussorgsky - Bydlo (Pictures).mid;0
152-Mussorgsky - Promenade (Pictures).mid;0
153-Mussorgsky - The Old Castle (Pictures).mid;0
154-Mussorgsky - Tuileries (Pictures).mid;0
155-Poulenc - Mouvement perpetuels.mid;0
156-Prokofiev - Prelude Op-12 No-7.mid;0
157-Rachmaninov - Flight of the Bumblebee.mid;0
158-Rachmaninov - Prelude in C-sharp Op-3 No-2.mid;0
159-Rachmaninov - Prelude in G Op-23 No-5.mid;0
160-Ravel - Jeux d'eau (Fountains).mid;0
161-Ravel - Menuet on the Name of Haydn (Sonatina).mid;0
162-Ravel - Pavane For A Dead Princess.mid;0
163-Satie Eric - Gymnopedie No-1.mid;0
