TITLE;TYPE
001-Albeniz Espana Op-165 Capricho Catalan.mid;0
002-Albeniz Espana Op-165 Malaguena.mid;0
003-Albeniz Espana Op-165 Prelude.mid;0
004-Albeniz Espana Op-165 Serenata.mid;0
005-Albeniz Espana Op-165 Tango.mid;0
006-Albeniz Espana Op-165 Zortcico.mid;0
007-Albeniz Suite Espagnole Aragon.mid;0
008-Albeniz Suite Espagnole Asturias.mid;0
009-Albeniz Suite Espagnole Cadiz.mid;0
010-Albeniz Suite Espagnole Castilla.mid;0
011-Albeniz Suite Espagnole Cataluna-1.mid;0
012-Albeniz Suite Espagnole Cataluna-2.mid;0
013-Albeniz Suite Espagnole Cuba.mid;0
014-Albeniz Suite Espagnole Granada.mid;0
015-Bach Christfreuden - Weihnachtsfantas.mid;0
016-Bach Das wohltemperierte Klavier I-1.mid;0
017-Bach Das wohltemperierte Klavier I-2.mid;0
018-Bach Fantasie über Stille Nacht, hei.mid;0
019-Bach Präludium und Fuge in D-Dur, BWV.mid;0
020-Bach Weihnachts-Fantasie.mid;0
021-Bach Zu Weihnachten - Fantasie.mid;0
022-Balakirev Islamei Orientalische Fa.mid;0
023-Beethoven Für Elise.mid;0
024-Beethoven Sonata 1 Movement.mid;0
025-Beethoven Sonata 2 Movement.mid;0
026-Beethoven Sonata 3 Movement.mid;0
027-Beethoven Sonata-1 Movement.mid;0
028-Beethoven Sonata-2 Movement.mid;0
029-Beethoven Sonata-3 Movement.mid;0
030-Beethoven Sonate No-23 Op Appassionata-1.mid;0
031-Beethoven Sonate No-23 Op Appassionata-2.mid;0
032-Beethoven Sonate No-23 Op Appassionata-3.mid;0
033-Borodin Petite Suite 1 Im Kloster.mid;0
034-Borodin Petite Suite 2 Intermezzo.mid;0
035-Borodin Petite Suite 3 Mazurka.mid;0
036-Borodin Petite Suite 4 Mazurka.mid;0
037-Borodin Petite Suite 5 Reverei.mid;0
038-Borodin Petite Suite 6 Serenade.mid;0
039-Borodin Petite Suite 7 Nocturne.mid;0
040-Brahms Fantasie No-6, Intermezzo.mid;0
041-Brahms Intermezzo No-5, Op-116.mid;0
042-Brahms Pan's auf StandaIntermezzo.mid;0
043-Brahms Rhapsodie No-4 in Es-Dur, Op-1.mid;0
044-Buegmueller Etueden Op-109 Die Perlen.mid;0
045-Buegmueller Etueden Op-109 Die Quelle.mid;0
046-Buegmueller Etueden Op-109 Gewitter.mid;0
047-Chopin Ballade in G minor Op-3.mid;0
048-Chopin Etude No-1, Op-25.mid;0
049-Chopin Etude No-12, Op-25.mid;0
050-Chopin Etude No-2, Op-25.mid;0
051-Chopin Etude No-3, Op-25.mid;0
052-Chopin Etude No-4, Op-25.mid;0
053-Chopin Etüde Op-10 No-5.mid;0
054-Chopin Etüde Op-10 NoSchwarze-Tasten-.mid;0
055-Chopin Etüde Op-25, NSturmetüde.mid;0
056-Chopin Fantasie-Impromptu in C#.mid;0
057-Chopin Grand Valse Brillante in Es-Dur.mid;0
058-Chopin Mazurka Op-7 No-1.mid;0
059-Chopin Mazurka Op-7 No-2.mid;0
060-Chopin Nocturne Op-27 No-1.mid;0
061-Chopin Nocturne Op-27 No-2.mid;0
062-Chopin Nocturne Op-33 No-2.mid;0
063-Chopin Nocturne Op-33 No-4.mid;0
064-Chopin Op-10 No-12 Etüde No-12.mid;0
065-Chopin Polonaise in Ab major Op-.mid;0
066-Chopin Prelude No-1, Op-28.mid;0
067-Chopin Prelude No-10.mid;0
068-Chopin Prelude No-11.mid;0
069-Chopin Prelude No-12, Op-28.mid;0
070-Chopin Prelude No-13, Op-28.mid;0
071-Chopin Prelude No-14, Op-28.mid;0
072-Chopin Prelude No-15, Op-28.mid;0
073-Chopin Prelude No-16, Op-28.mid;0
074-Chopin Prelude No-17, Op-28.mid;0
075-Chopin Prelude No-18, Op-28.mid;0
076-Chopin Prelude No-19, Op-28.mid;0
077-Chopin Prelude No-2, Op-28.mid;0
078-Chopin Prelude No-20, Op-28.mid;0
079-Chopin Prelude No-21, Op-28.mid;0
080-Chopin Prelude No-22, Op-28.mid;0
081-Chopin Prelude No-23, Op-28.mid;0
082-Chopin Prelude No-24, Op-28.mid;0
083-Chopin Prelude No-3, Op-28.mid;0
084-Chopin Prelude No-4, Op-28.mid;0
085-Chopin Prelude No-5, Op-28.mid;0
086-Chopin Prelude No-6, Op-28.mid;0
087-Chopin Prelude No-7.mid;0
088-Chopin Prelude No-8.mid;0
089-Chopin Prelude No-9.mid;0
090-Chopin Scherzo in b-moll Op-31.mid;0
091-Chopin Sonate Op-35, 1 Satz.mid;0
092-Chopin Sonate Op-35, 2 Satz.mid;0
093-Chopin Sonate Op-35, 4 Satz.mid;0
094-Chopin Sonate Op-35, Trauermarsch.mid;0
095-Debussy Suite Bergamasque Clair de Lune.mid;0
096-Debussy Suite Bergamasque Menuet.mid;0
097-Debussy Suite Bergamasque Passepied.mid;0
098-Debussy Suite Bergamasque Prelude.mid;0
099-Granados Danza Espanola No-3.mid;0
100-Granados Danza Espanola Oriental.mid;0
101-Granados Danza Espanola Villanesca.mid;0
102-Grieg Grieg Lyrische Stücke Op-43 Nr.mid;0
103-Grieg Hochzeitstag auf Troldhaugen Op.mid;0
104-Grieg Kobold Op-71, No-3.mid;0
105-Grieg Lyric Pieces Op-12 No-12 Valse.mid;0
106-Grieg Lyrische Norwegischer Tan.mid;0
107-Grieg Lyrische Stücke Op-12 Nr.mid;0
108-Grieg Lyrische Stücke Op-43 No.mid;0
109-Grieg Vöglein Op-43, No-4.mid;0
110-Grieg Wächterlied Op12, No-3.mid;0
111-Grieg Zug der Zwerge Op-54, No-3.mid;0
112-Haydn Klaviersonate in1 Satz.mid;0
113-Haydn Klaviersonate in2 Satz.mid;0
114-Liszt Etude No-1 aus Grandes Etudes d.mid;0
115-Liszt Etude No-2 aus Grandes Etudes d.mid;0
116-Liszt Etude No-3 ausLa Campanella.mid;0
117-Liszt Etude No-4 aus Grandes Etudes d.mid;0
118-Liszt Etude No-5 aus Grandes Etudes d.mid;0
119-Liszt Etude No-6 aus Grandes Etudes d.mid;0
120-Liszt Etudes d'execution Mazeppa.mid;0
121-Liszt Etudes d'executon Wilde Jagd.mid;0
122-Liszt Franz Liszt Etudes Feux Follets (Ir.mid;0
123-Liszt Liebestraum No-3.mid;0
124-Liszt Reminiscnenes do Don Juan.mid;0
125-Liszt Rhapsodie No-10.mid;0
126-Liszt Rhapsodie No-12.mid;0
127-Liszt Rhapsodie No-15.mid;0
128-Liszt Rhapsodie No-9 - Pesther Karnev.mid;0
129-Liszt Ungarische Rhapsodie No-2.mid;0
130-Mendelssohn Lieder ohne Wort Venetianisches G.mid;0
131-Mendelssohn Lieder ohne Worte Morgenlied.mid;0
132-Mendelssohn Lieder ohne Worte Op-30 No-1.mid;0
133-Mendelssohn Lieder ohne Worte Trauermarsch.mid;0
134-Mendelssohn Lieder ohne Worte Volkslied.mid;0
135-Moszkowski Etincelles Op-36, No-6.mid;0
136-Moszkowski Sonata  No-14 in Mondscheinsonate-1.mid;0
137-Moszkowski Sonata  No-14 in Mondscheinsonate-2.mid;0
138-Moszkowski Sonata  No-14 in Mondscheinsonate-3.mid;0
139-Mozart Klaviersonate B-1 Satz.mid;0
140-Mozart Klaviersonate B-2 Satz.mid;0
141-Mozart Klaviersonate B-3 Satz.mid;0
142-Mozart Klaviersonate C-1 Satz.mid;0
143-Mozart Klaviersonate C-2 Satz.mid;0
144-Mozart Klaviersonate C-3 Satz.mid;0
145-Mozart Klaviersonate KV 545 2 Satz.mid;0
146-Mozart Klaviersonate KV 545 3 Satz.mid;0
147-Mozart Klaviersonate KV 570 1 Satz.mid;0
148-Mozart Klaviersonate KV 570 2 Satz.mid;0
149-Mozart Klaviersonate No-11 KV 331 2 Satz.mid;0
150-Mozart Klaviersonate No-11 KV 331 3 Satz.mid;0
151-Mozart Klaviersonate No-11 KV 331.mid;0
152-Mozart Klaviersonate No-12 KV 331 1 Satz.mid;0
153-Mozart Klaviersonate No-12 KV 331 2 Satz.mid;0
154-Mozart Klaviersonate No-12 KV 331 3 Satz.mid;0
155-Mozart Klaviersonate No-12 KV 332 1 Satz.mid;0
156-Mozart Klaviersonate No-12 KV 332 2 Satz.mid;0
157-Mozart Klaviersonate No-12 KV 332 No.mid;0
158-Mozart Sonate KV 545 1 Satz.mid;0
159-Mozart Sonate KV 570 3 Satz.mid;0
160-Mussorgsky Bilder einer Aus Baba-Yaga - Das.mid;0
161-Mussorgsky Bilder einer Aus Bydlo.mid;0
162-Mussorgsky Bilder einer Aus Promenade - Ball.mid;0
163-Mussorgsky Bilder einer Aus Samuel Goldenber.mid;0
164-Mussorgsky Bilder einer AusP romenade - Der.mid;0
165-Mussorgsky Bilder einer AusPromenade - Die.mid;0
166-Mussorgsky Bilder einer AusPromenade - Gnom.mid;0
167-Mussorgsky Bilder einer AusPromenade - Il v.mid;0
168-Schubert Klaviersonate a-Moll, Op-143 1.mid;0
169-Schubert Klaviersonate a-Moll, Op-143 2.mid;0
170-Schubert Klaviersonate a-Moll, Op-143 3.mid;0
171-Schubert MomentAllegretto.mid;0
172-Schubert Sonate D960, 1 Satz.mid;0
173-Schubert Sonate D960, 2 Satz.mid;0
174-Schubert Sonate D960, 3 Satz.mid;0
175-Schubert Sonate D960, 4 Satz.mid;0
176-Schubert Vier Impromptus Impromptu No-1.mid;0
177-Schubert Vier Impromptus Impromptu No-2.mid;0
178-Schubert Vier Impromptus Impromptu No-3.mid;0
179-Schubert Vier Impromptus Impromptu No-4.mid;0
180-Schubert Wandererfantasie D760, 1 Satz.mid;0
181-Schubert Wandererfantasie D760, 2 Satz.mid;0
182-Schubert Wandererfantasie D760, 3 Satz.mid;0
183-Schubert Wandererfantasie D760, 4 Satz.mid;0
184-Schumann Abegg-Variationen.mid;0
185-Schumann Kinderszenen Opus 15.mid;0
186-Schumann Kinderszenen Opus Am Kamin.mid;0
187-Schumann Kinderszenen Opus Der Dichter spri.mid;0
188-Schumann Kinderszenen Opus Fast zu ernst.mid;0
189-Schumann Kinderszenen Opus Fürchtenmachen.mid;0
190-Schumann Kinderszenen Opus Glückes genug.mid;0
191-Schumann Kinderszenen Opus Hasche-Mann.mid;0
192-Schumann Kinderszenen Opus Kind im Einschlu.mid;0
193-Schumann Kinderszenen Opus Kuriose Geschich.mid;0
194-Schumann Kinderszenen Opus Ritter vom Steck.mid;0
195-Schumann Kinderszenen Opus Träumerei.mid;0
196-Schumann Kinderszenen Opus Von fremden Länd.mid;0
197-Schumann Kinderszenen Opus Wichtige Begeben.mid;0
198-Schumann Kreisleriana 3.mid;0
199-Schumann Kreisleriana No-4.mid;0
200-Schumann Kreisleriana No-7.mid;0
201-Schumann Kreisleriana No-Fantasien-1.mid;0
202-Schumann Kreisleriana No-Fantasien-2.mid;0
203-Schumann Kreisleriana Sehr langsam.mid;0
204-Schumann Kreisleriana Teil 5.mid;0
