TITLE;TYPE;LENGTH;TIME_SIGNATURE;TEMPO;DEFAULT_TIME_SIGNATURE;DEFAULT_TEMPO;DEFAULT_TIME_SIGNATURE_AND_TEMPO;POSITIVE[IF(TYPE==1&&NOT(DEFAULT_TIME_SIGNATURE_AND_TEMPO))];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
001-ALBENIZ -Tango (Arr Godowsky).mid;1;155.4913558437497; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=437956 time=7376>;1;0;0;0;-;;;;;;
002-ALBENIZ -Triana (From The Ibera Suite).mid;0;266.25119986458225; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=428571 time=4784>;0;0;0;0;-;;;;;;
003-ALKAN - Chemin De Fer.mid;1;279.70411500001717; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=400000 time=63360>;0;0;0;1;0;;;1844;;1844;
004-ALKAN - Festin Daesope.mid;1;534.6634902083518; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=2666667 time=20>;0;0;0;1;0;;;;1857 ;1857;
005-ALKAN - Op-35 No-05.mid;1;157.27422399999912; <meta message time_signature numerator=2 denominator=2 clocks_per_click=48 notated_32nd_notes_per_beat=8 time=1920>; <meta message set_tempo tempo=309278 time=26880>;0;0;0;1;1;;;;;;
006-ALKAN - Op-38a No-01.mid;1;241.15809275000007; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=419992 time=240>;1;0;0;1;1;;;;;;
007-ALKAN - Op-39 No-01.mid;1;245.28750000000787; <meta message time_signature numerator=2 denominator=16 clocks_per_click=6 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=750000 time=0>;0;0;0;1;1;;;;;;
008-ALKAN - Op-39 No-03.mid;1;317.2412493958262; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=507485 time=480>;0;0;0;1;1;;;;;;
009-ALKAN - Op-39 No-10.mid;1;580.8078105000071; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=595002 time=240>;0;0;0;1;1;;;;;;
010-ALKAN - Op-76 No-01.mid;1;448.98100949999986; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=240>; <meta message set_tempo tempo=2400000 time=480>;0;0;0;1;1;;;;;;
