TITLE;TYPE;LENGTH;TIME_SIGNATURE;TEMPO;DEFAULT_TIME_SIGNATURE;DEFAULT_TEMPO;DEFAULT_TIME_SIGNATURE_AND_TEMPO;POSITIVE[IF(TYPE==1&&NOT(DEFAULT_TIME_SIGNATURE_AND_TEMPO))];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
001-BACH, Johann Sebastian - BWV-0772 No-01 2-part invention.mid;1;72.08142279166607; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1132075 time=240>;1;0;0;1;0;;;1720-23;;1723;
002-BACH, Johann Sebastian - BWV-0773 No-02 2-part invention.mid;1;94.37283600000018; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1000000 time=240>;1;0;0;1;0;;;1720-23;;1723;
003-BACH, Johann Sebastian - BWV-0774 No-03 2-part invention.mid;1;61.110085400000216; <meta message time_signature numerator=3 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=120>; <meta message set_tempo tempo=674157 time=360>;0;0;0;1;0;;;1720-23;;1723;
004-BACH, Johann Sebastian - BWV-0775 No-04 2-part invention.mid;1;54.30634383333348; <meta message time_signature numerator=3 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=2000000 time=18360>;0;0;0;1;0;;;1720-23;;1723;
005-BACH, Johann Sebastian - BWV-0776 No-05 2-part invention.mid;1;88.58077560000049; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1333333 time=240>;1;0;0;1;0;;;1720-23;;1723;
006-BACH, Johann Sebastian - BWV-0777 No-06 2-part invention.mid;1;155.66660440000018; <meta message time_signature numerator=3 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=833333 time=0>;0;0;0;1;0;;;1720-23;;1723;
007-BACH, Johann Sebastian - BWV-0778 No-07 2-part invention.mid;1;72.0; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=750000 time=0>;1;0;0;1;0;;;1720-23;;1723;
008-BACH, Johann Sebastian - BWV-0779 No-08 2-part invention.mid;1;51.3003410000001; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1500000 time=240>;0;0;0;1;0;;;1720-23;;1723;
009-BACH, Johann Sebastian - BWV-0780 No-09 2-part invention.mid;1;97.625001; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=937500 time=720>;0;0;0;1;0;;;1720-23;;1723;
010-BACH, Johann Sebastian - BWV-0781 No-10 2-part invention.mid;1;54.89999999999997; <meta message time_signature numerator=9 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=375000 time=0>;0;0;0;1;0;;;1720-23;;1723;
011-BACH, Johann Sebastian - BWV-0782 No-11 2-part invention.mid;1;91.73387708333344; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=967742 time=0>;1;0;0;1;0;;;1720-23;;1723;
012-BACH, Johann Sebastian - BWV-0783 No-12 2-part invention.mid;1;72.67927919999931; <meta message time_signature numerator=12 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=566038 time=0>;0;0;0;1;0;;;1720-23;;1723;
013-BACH, Johann Sebastian - BWV-0784 No-13 2-part invention.mid;1;65.50340699999954; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=789474 time=240>;1;0;0;1;0;;;1720-23;;1723;
014-BACH, Johann Sebastian - BWV-0785 No-14 2-part invention.mid;1;86.39999280000029; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1090909 time=0>;1;0;0;1;0;;;1720-23;;1723;
015-BACH, Johann Sebastian - BWV-0786 No-15 2-part invention.mid;1;63.95747500000006; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1153846 time=240>;1;0;0;1;0;;;1720-23;;1723;
016-BACH, Johann Sebastian - BWV-0787 No-01 3-part Sinfonia in C.mid;1;77.27083333333347; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
017-BACH, Johann Sebastian - BWV-0788 No-02 3-part Sinfonia in C.mid;1;110.46614583333266; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
018-BACH, Johann Sebastian - BWV-0789 No-03 3-part Sinfonia in D.mid;1;86.95312500000017; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
019-BACH, Johann Sebastian - BWV-0790 No-04 3-part Sinfonia in D.mid;1;107.11067708333367; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
