TITLE;TYPE;LENGTH;TEMPO;DEFAULT_TEMPO[IN_THIS_CASE_512820_YAMAHA_DISKLAVIER_STANDARD];POSITIVE[TYPE==1&&NOT(DEFAULT_TEMPO)];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
Albeniz Espana (Spain) Op-165 Capricho Catalan.mid;0;123.67241906249994; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Espana (Spain) Op-165 Malaguena.mid;0;175.76905499999896; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Espana (Spain) Op-165 Prelude.mid;0;95.93740406249965; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Espana (Spain) Op-165 Serenata.mid;0;193.8726693749987; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Espana (Spain) Op-165 Tango.mid;0;127.96060921874971; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Espana (Spain) Op-165 Zortcico.mid;0;154.83024046874894; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Aragon (Fantasia).mid;0;241.18031437499786; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Asturias (Leyendas).mid;0;304.51759078124405; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Cadiz.mid;0;219.58979109374857; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Castilla (Seguidillas).mid;0;154.6860098437493; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Cataluna.mid;0;239.47892718749918; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Cuba (Notturno).mid;0;270.35630015624844; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Granada.mid;0;240.13998421874797; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Albeniz Suite Espagnole Sevilla.mid;0;250.57934343749915; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Bach Ave Maria.mid;1;232.74518033854258; <meta message set_tempo tempo=2000000 time=96>;0;1;0;;;1853;;;by Gounod, Charles based on Bach BWV 846
Bach Das Wohltemperierte Klavier I - Prelude & Fuge in C Maj BWV-846.mid;0;226.56137976302205; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Bach Das Wohltemperierte Klavier I - Prelude & Fuge in C min BWV-847.mid;0;192.75488203124755; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Bach Das Wohltemperierte Klavier I - Prelude & Fuge in D Maj BWV-850.mid;0;175.9760526562495; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Bach Ode to Joy (Jesu Joy).mid;1;239.84726137500203; <meta message set_tempo tempo=1379310 time=480>;0;1;0;;;1723;;;BWV 147
Bakairew Islamei ''Orientalische Fantasie''.mid;0;496.33460613277987; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Beethoven Fur Elise.mid;0;167.73220406249976; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Beethoven Mondscheinsonate (Moonlight Sonata) No.14 in C#-min Op-27-2 (1801) 1st Nov.mid;0;364.9876157812518; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
