TITLE;;YEAR_FOR_ANALYSIS;TONAL_CERTAINTY_PIECE;MEAN_TONAL_CERTAINTY_MEASURES;PITCH_CLASS_ENTROPY_PIECE;MEAN_PITCH_CLASS_ENTROPY_MEASURES;MAX_MELODIC_INTERVAL_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_MELODIC_INTERVAL_ENTROPY_MEASURES;MAX_IOI_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_IOI_ENTROPY_MEASURES;LENGTH
003-ALKAN - Chemin De Fer.mid;ALKAN;1844;1.1014737811032649;0.939677392254491;3.3693149716666304;2.957492731201035;3.980711206784846;1.402844324247061;1.7539979240301244;0.6148358422437091;279.70411500001717
004-ALKAN - Festin Daesope.mid;ALKAN;1857;1.2802188927065754;0.9523614961707326;3.3856327904057784;3.2824069201302253;3.762623235442817;3.403845883691125;1.6949057142013884;1.6309468305956256;534.6634902083518
013-ALKAN - Saltarelo.mid;ALKAN;1844;1.2374157758659876;1.0464234289004755;3.250519052938263;3.0334521016974616;4.204905608052427;2.9295707834906803;1.8205159976914431;1.0591832157714698;259.55300000000557
018-BEETHOVEN, Ludwig von - Ich denke dein-02.mid;BEETHOVEN;1803;1.4698305047778693;1.2977722564615326;3.1602984541612877;3.0726582902111383;3.788247996731305;3.2121833308495784;2.9310807806083825;2.014418706197785;359.8756887229146
019-BEETHOVEN, Ludwig von - Piano Sonata No-01.mid;BEETHOVEN;1795;1.365045636483781;1.1204274130634704;3.316928463595208;3.1220205008168764;3.777885292304538;2.6680307087150172;2.763647619527948;1.8896178315758456;861.4085098270903
020-BEETHOVEN, Ludwig von - Piano Sonata No-02.mid;BEETHOVEN;1795;1.083440877230053;0.9099968663961628;3.3977053678531446;3.1596109572452846;3.7917203658030276;3.478674312732536;2.800637525786717;1.9180185311264542;1243.825268522872
021-BEETHOVEN, Ludwig von - Piano Sonata No-03.mid;BEETHOVEN;1795;1.1632514356286796;1.2520404636344025;3.3518152952393203;3.189977314729124;4.12456356798109;3.5583439513734696;2.6272808041706597;2.3718212768084714;1489.6854849041417
022-BEETHOVEN, Ludwig von - Piano Sonata No-04.mid;BEETHOVEN;1797;1.3408253008513595;1.125532124681348;3.3590794768121235;3.1741384681306926;3.9028445173568675;3.2297657410385807;3.0228665499049248;1.5966452661855366;1281.9930234687436
023-BEETHOVEN, Ludwig von - Piano Sonata No-05.mid;BEETHOVEN;1797;0.8636377011187483;1.254351499140629;3.287721392619068;3.023720385171817;3.934668782101448;3.481306130124506;3.3466476129738942;1.459535025362802;1047.2306194333862
024-BEETHOVEN, Ludwig von - Piano Sonata No-06.mid;BEETHOVEN;1798;0.8079381599546793;1.1944185675456793;3.3862930157063174;3.1370717217521764;3.8580161801464916;3.393466933730521;2.8609642426800446;1.6818080508402133;549.7257200062838
025-BEETHOVEN, Ludwig von - Piano Sonata No-07.mid;BEETHOVEN;1798;1.1244888941802076;1.1236471890630195;3.4019587700029517;3.256308685361864;4.088892934323018;0.7605274945111388;2.9430058686685783;0.6305260445800592;1364.7798564228883
026-BEETHOVEN, Ludwig von - Piano Sonata No-09.mid;BEETHOVEN;1798;1.139952528237985;0.9549700393306557;3.3046069544032797;3.1112704957200665;3.903536448277986;2.476712889951134;3.0555285586297356;1.974603544575401;651.317633562508
027-BEETHOVEN, Ludwig von - Piano Sonata No-10.mid;BEETHOVEN;1799;1.0171462382093024;1.1881100311740453;3.2813863773598313;3.0949033278609495;3.783662122683217;3.1297773452651514;2.8976544440332903;1.8261504982078716;811.9501511041917
